Hazardous substance,pounds,kilograms
"Hydrazine, 1,1-dimethyl- 10 (4.54)",10,4.54
"Hydrazine, 1,2-dimethyl- 1 (0.454)",1,0.454
"Hydrazine, 1,2-diphenyl- 10 (4.54)",10,4.54
"Hydrazine, methyl- 10 (4.54)",10,4.54
Hydrochloric acid 5000 (2270),5000,2270
Hydrocyanic acid 10 (4.54),10,4.54
Hydrofluoric acid 100 (45.4),100,45.4
Hydrogen chloride 5000 (2270),5000,2270
Hydrogen cyanide 10 (4.54),10,4.54
Hydrogen fluoride 100 (45.4),100,45.4
Hydrogen phosphide 100 (45.4),100,45.4
Hydrogen sulfide H2S 100 (45.4),100,45.4
"Hydroperoxide, 1-methyl-1-phenylethyl- 10 (4.54)",10,4.54
Hydroquinone 100 (45.4),100,45.4
2-Imidazolidinethione 10 (4.54),10,4.54
"Indeno(1,2,3-cd)pyrene 100 (45.4)",100,45.4
Iodomethane 100 (45.4),100,45.4
"1,3-Isobenzofurandione 5000 (2270)",5000,2270
Isobutyl alcohol 5000 (2270),5000,2270
Isodrin 1 (0.454),1,0.454
Isolan 100 (45.4),100,45.4
Isophorone 5000 (2270),5000,2270
Isoprene 100 (45.4),100,45.4
Isopropanolamine dodecylbenzenesulfonate 1000 (454),1000,454
3-Isopropylphenyl N-methylcarbamate 10 (4.54),10,4.54
Isosafrole 100 (45.4),100,45.4
"3(2H)-Isoxazolone, 5-(aminomethyl)- 1000 (454)",1000,454
Kepone 1 (0.454),1,0.454
Lasiocarpine 10 (4.54),10,4.54
Lead¢ 10 (4.54),10,4.54
Lead acetate 10 (4.54),10,4.54
Lead arsenate 1 (0.454),1,0.454
"Lead, bis(acetato-O)tetrahydroxytri- 10 (4.54)",10,4.54
Lead chloride 10 (4.54),10,4.54
Lead fluoborate 10 (4.54),10,4.54
Lead fluoride 10 (4.54),10,4.54
Lead iodide 10 (4.54),10,4.54
Lead nitrate 10 (4.54),10,4.54
Lead phosphate 10 (4.54),10,4.54
Lead stearate 10 (4.54),10,4.54
Lead subacetate 10 (4.54),10,4.54
Lead sulfate 10 (4.54),10,4.54
Lead sulfide 10 (4.54),10,4.54
Lead thiocyanate 10 (4.54),10,4.54
Lindane 1 (0.454),1,0.454
Lindane (all isomers) 1 (0.454),1,0.454
Lithium chromate 10 (4.54),10,4.54
Malathion 100 (45.4),100,45.4
Maleic acid 5000 (2270),5000,2270
Maleic anhydride 5000 (2270),5000,2270
Maleic hydrazide 5000 (2270),5000,2270
Malononitrile 1000 (454),1000,454
"Manganese,bis(dimethylcarbamodithioato-S,S′)-",10,4.54
Manganese dimethyldithiocarbamate 10 (4.54),10,4.54
MDI 5000 (2270),5000,2270
MEK 5000 (2270),5000,2270
Melphalan 1 (0.454),1,0.454
Mercaptodimethur 10 (4.54),10,4.54
Mercuric cyanide 1 (0.454),1,0.454
Mercuric nitrate 10 (4.54),10,4.54
Mercuric sulfate 10 (4.54),10,4.54
Mercuric thiocyanate 10 (4.54),10,4.54
Mercurous nitrate 10 (4.54),10,4.54
Mercury 1 (0.454),1,0.454
"Mercury, (acetato-O)phenyl- 100 (45.4)",100,45.4
Mercury fulminate 10 (4.54),10,4.54
Methacrylonitrile 1000 (454),1000,454
"Methanamine, N-methyl- 1000 (454)",1000,454
"Methanamine, N-methyl-N-nitroso- 10 (4.54)",10,4.54
"Methane, bromo- 1000 (454)",1000,454
"Methane, chloro- 100 (45.4)",100,45.4
"Methane, chloromethoxy- 10 (4.54)",10,4.54
"Methane, dibromo- 1000 (454)",1000,454
"Methane, dichloro- 1000 (454)",1000,454
"Methane, dichlorodifluoro- 5000 (2270)",5000,2270
"Methane, iodo- 100 (45.4)",100,45.4
"Methane, isocyanato- 10 (4.54)",10,4.54
"Methane, oxybis(chloro- 10 (4.54)",10,4.54
"Methanesulfenyl chloride, trichloro- 100 (45.4)",100,45.4
"Methanesulfonic acid, ethyl ester 1 (0.454)",1,0.454
"Methane, tetrachloro- 10 (4.54)",10,4.54
"Methane, tetranitro- 10 (4.54)",10,4.54
Methanethiol 100 (45.4),100,45.4
"Methane, tribromo- 100 (45.4)",100,45.4
"Methane, trichloro- 10 (4.54)",10,4.54
"Methane, trichlorofluoro- 5000 (2270)",5000,2270
"Methanimidamide, N,N-dimethyl-N′-[3-[[(methylamino) carbonyl] oxy]phenyl]-, monohydrochloride 100 (45.4)",100,45.4
"Methanimidamide, N,N-dimethyl-N′-[2-methyl-4-[[(methylamino)carbonyl]oxy]phenyl]-100 (45.4)",100,45.4
"6,9-Methano-2,4,3-benzodioxathiepin,6,7,8,9,10,10-hexachloro-1,5,5a,6,9,9a-hexahydro-, 3-oxide",1,0.454
"4,7-Methano-1H-indene, 1,4,5,6,7,8,8-heptachloro-3a,4,7,7a-tetrahydro-1 (0.454)",1,0.454
"4,7-Methano-1H-indene, 1,2,4,5,6,7,8,8-octachloro-2,3,3a,4,7,7a-hexahydro-",1,0.454
Methanol 5000 (2270),5000,2270
Methapyrilene 5000 (2270),5000,2270
"1,3,4-Metheno-2Hcyclobuta[cd]pentalen-2-one,1,1a,3,3a,4,5,5,5a,5b,6-decachlorooctahydro-",1,0.454
Methiocarb 10 (4.54),10,4.54
Methomyl 100 (45.4),100,45.4
Methoxychlor 1 (0.454),1,0.454
Methyl alcohol 5000 (2270),5000,2270
Methylamine @ 100 (45.4),100,45.4
2-Methyl aziridine 1 (0.454),1,0.454
Methyl bromide 1000 (454),1000,454
1-Methylbutadiene 100 (45.4),100,45.4
Methyl chloride 100 (45.4),100,45.4
Methyl chlorocarbonate 1000 (454),1000,454
Methyl chloroform 1000 (454),1000,454
Methyl chloroformate @ 1000 (454),1000,454
Methyl chloromethyl ether @ 10 (4.54),10,4.54
3-Methylcholanthrene 10 (4.54),10,4.54
"4,4′-Methylenebis(2-chloroaniline) 10 (4.54)",10,4.54
Methylene bromide 1000 (454),1000,454
Methylene chloride 1000 (454),1000,454
"4,4′-Methylenedianiline 10 (4.54)",10,4.54
Methylene diphenyl diisocyanate 5000 (2270),5000,2270
Methyl ethyl ketone 5000 (2270),5000,2270
Methyl ethyl ketone peroxide 10 (4.54),10,4.54
Methyl hydrazine 10 (4.54),10,4.54
Methyl iodide 100 (45.4),100,45.4
Methyl isobutyl ketone 5000 (2270),5000,2270
Methyl isocyanate 10 (4.54),10,4.54
2-Methyllactonitrile 10 (4.54),10,4.54
Methyl mercaptan 100 (45.4),100,45.4
Methyl methacrylate 1000 (454),1000,454
Methyl parathion 100 (45.4),100,45.4
4-Methyl-2-pentanone 5000 (2270),5000,2270
Methyl tert-butyl ether 1000 (454),1000,454
Methylthiouracil 10 (4.54),10,4.54
Metolcarb 1000 (454),1000,454
Mevinphos 10 (4.54),10,4.54
Mexacarbate 1000 (454),1000,454
Mitomycin C 10 (4.54),10,4.54
MNNG 10 (4.54),10,4.54
Monoethylamine 100 (45.4),100,45.4
Monomethylamine 100 (45.4),100,45.4
Naled 10 (4.54),10,4.54
"5,12-Naphthacenedione, 8-acetyl-10-[(3-amino-2,3,6-trideoxy-alpha-L-lyxohexopyranosyl)oxy]-7,8,9,10-tetrahydro-6,8,11-trihydroxy-1-methoxy-, (8S-cis)-",10,4.54
1-Naphthalenamine 100 (45.4),100,45.4
2-Naphthalenamine 10 (4.54),10,4.54
"Naphthalenamine, N,N′-bis(2-chloroethyl)-",100,45.4
Naphthalene 100 (45.4),100,45.4
"Naphthalene, 2-chloro- 5000 (2270)",5000,2270
"1,4-Naphthalenedione 5000 (2270)",5000,2270
"2,7-Naphthalenedisulfonic acid, 3,3′-[(3,3′-dimethyl-(1,1′-biphenyl)-4,4′-diyl)-bis(azo)]bis(5-amino-4-hydroxy)-tetrasodium salt",10,4.54
"1-Naphthalenol, methylcarbamate 100 (45.4)",100,45.4
Naphthenic acid 100 (45.4),100,45.4
"1,4-Naphthoquinone 5000 (2270)",5000,2270
alpha-Naphthylamine 100 (45.4),100,45.4
beta-Naphthylamine 10 (4.54),10,4.54
alpha-Naphthylthiourea 100 (45.4),100,45.4
Nickel¢ 100 (45.4),100,45.4
Nickel ammonium sulfate 100 (45.4),100,45.4
"Nickel carbonyl Ni(CO)4, (T-4)- 10 (4.54)",10,4.54
Nickel chloride 100 (45.4),100,45.4
Nickel cyanide Ni(CN)2 10 (4.54),10,4.54
Nickel hydroxide 10 (4.54),10,4.54
Nickel nitrate 100 (45.4),100,45.4
Nickel sulfate 100 (45.4),100,45.4
"Nicotine, & salts 100 (45.4)",100,45.4
Nitric acid 1000 (454),1000,454
"Nitric acid, thallium (1 + ) salt 100 (45.4)",100,45.4
Nitric oxide 10 (4.54),10,4.54
p-Nitroaniline 5000 (2270),5000,2270
Nitrobenzene 1000 (454),1000,454
4-Nitrobiphenyl 10 (4.54),10,4.54
Nitrogen dioxide 10 (4.54),10,4.54
Nitrogen oxide NO 10 (4.54),10,4.54
Nitrogen oxide NO2 10 (4.54),10,4.54
Nitroglycerine 10 (4.54),10,4.54
Nitrophenol (mixed) 100 (45.4),100,45.4
m-Nitrophenol,100,45.4
o-Nitrophenol 100 (45.4),100,45.4
p-Nitrophenol 100 (45.4),100,45.4
2-Nitrophenol 100 (45.4),100,45.4
4-Nitrophenol 100 (45.4),100,45.4
2-Nitropropane 10 (4.54),10,4.54
N-Nitrosodi-n-butylamine 10 (4.54),10,4.54
N-Nitrosodiethanolamine 1 (0.454),1,0.454
N-Nitrosodiethylamine 1 (0.454),1,0.454
N-Nitrosodimethylamine 10 (4.54),10,4.54
N-Nitrosodiphenylamine 100 (45.4),100,45.4
N-Nitroso-N-ethylurea 1 (0.454),1,0.454
N-Nitroso-N-methylurea 1 (0.454),1,0.454
N-Nitroso-N-methylurethane 1 (0.454),1,0.454
N-Nitrosomethylvinylamine 10 (4.54),10,4.54
N-Nitrosomorpholine 1 (0.454),1,0.454
N-Nitrosopiperidine 10 (4.54),10,4.54
N-Nitrosopyrrolidine 1 (0.454),1,0.454
Nitrotoluene 1000 (454),1000,454
m-Nitrotoluene,1000,454
o-Nitrotoluene,1000,454
p-Nitrotoluene,1000,454
5-Nitro-o-toluidine 100 (45.4),100,45.4
Octamethylpyrophosphoramide 100 (45.4),100,45.4
"Osmium oxide OsO4, (T-4)- 1000 (454)",1000,454
Osmium tetroxide 1000 (454),1000,454
"7-Oxabicyclo[2.2.1]heptane-2,3-dicarboxylic acid",1000,454
Oxamyl 100 (45.4),100,45.4
"1,2-Oxathiolane, 2,2-dioxide 10 (4.54)",10,4.54
"2H-1,3,2-Oxazaphosphorin-2-amine,N,N-bis(2-chloroethyl) tetrahydro-, 2-oxide",10,4.54
Oxirane 10 (4.54),10,4.54
Oxiranecarboxyaldehyde 10 (4.54),10,4.54
"Oxirane, (chloromethyl)- 100 (45.4)",100,45.4
Paraformaldehyde 1000 (454),1000,454
Paraldehyde 1000 (454),1000,454
Parathion 10 (4.54),10,4.54
PCBs 1 (0.454),1,0.454
PCNB 100 (45.4),100,45.4
Pentachlorobenzene 10 (4.54),10,4.54
Pentachloroethane 10 (4.54),10,4.54
Pentachloronitrobenzene 100 (45.4),100,45.4
Pentachlorophenol 10 (4.54),10,4.54
"1,3-Pentadiene 100 (45.4)",100,45.4
Perchloroethylene 100 (45.4),100,45.4
Perchloromethyl mercaptan@ 100 (45.4),100,45.4
Phenacetin 100 (45.4),100,45.4
Phenanthrene 5000 (2270),5000,2270
Phenol 1000 (454),1000,454
"Phenol, 2-chloro- 100 (45.4)",100,45.4
"Phenol, 4-chloro-3-methyl- 5000 (2270)",5000,2270
"Phenol, 2-cyclohexyl-4,6-dinitro- 100 (45.4)",100,45.4
"Phenol, 2,4-dichloro- 100 (45.4)",100,45.4
"Phenol, 2,6-dichloro- 100 (45.4)",100,45.4
"Phenol, 4,4′-(1,2-diethyl-1,2-ethenediyl)bis-, (E)",1,0.454
"Phenol, 2,4-dimethyl- 100 (45.4)",100,45.4
"Phenol, 4-(dimethylamino)-3,5-dimethyl-, methylcarbamate (ester)",1000,454
"Phenol, (3,5-dimethyl-4-(methylthio)-,methylcarbamate",10,4.54
"Phenol, 2,4-dinitro- 10 (4.54)",10,4.54
"Phenol, methyl- 100 (45.4)",100,45.4
"Phenol, 2-methyl-4,6-dinitro-, & salts 10 (4.54)",10,4.54
"Phenol, 2,2′-methylenebis[3,4,6-trichloro-",100,45.4
"Phenol, 2-(1-methylethoxy)-,methyl carbamate",100,45.4
"Phenol, 3-(1-methylethyl)-, methyl carbamate",10,4.54
"Phenol, 3-methyl-5-(1-methylethyl)-,methyl carbamate",1000,454
"Phenol, 2-(1-methylpropyl)-4,6-dinitro- 1000 (454)",1000,454
"Phenol, 4-nitro- 100 (45.4)",100,45.4
"Phenol, pentachloro- 10 (4.54)",10,4.54
"Phenol, 2,3,4,6-tetrachloro- 10 (4.54)",10,4.54
"Phenol, 2,4,5-trichloro- 10 (4.54)",10,4.54
"Phenol, 2,4,6-trichloro- 10 (4.54)",10,4.54
"Phenol, 2,4,6-trinitro-, ammonium salt 10 (4.54)",10,4.54
"L-Phenylalanine, 4-[bis(2-chloroethyl)amino]-",1,0.454
p-Phenylenediamine 5000 (2270),5000,2270
Phenyl mercaptan@ 100 (45.4),100,45.4
Phenylmercury acetate 100 (45.4),100,45.4
Phenylthiourea 100 (45.4),100,45.4
Phorate 10 (4.54),10,4.54
Phosgene 10 (4.54),10,4.54
Phosphine 100 (45.4),100,45.4
Phosphoric acid 5000 (2270),5000,2270
"Phosphoric acid, diethyl 4-nitrophenylester",100,45.4
"Phosphoric acid, lead(2 + ) salt (2:3) 10 (4.54)",10,4.54
"Phosphorodithioic acid, O,O-diethyl S-[2-(ethylthio)ethyl] ester 1 (0.454)",1,0.454
"Phosphorodithioic acid, O,O-diethyl S-[(ethylthio)methyl] ester 10 (4.54)",10,4.54
"Phosphorodithioic acid, O,O-diethyl Smethyl ester 5000 (2270)",5000,2270
"Phosphorodithioic acid, O,O-dimethyl S-[2-(methylamino)-2-oxoethyl] ester 10 (4.54)",10,4.54
"Phosphorofluoridic acid, bis(1-methylethyl) ester 100 (45.4)",100,45.4
"Phosphorothioic acid, O,O-diethyl O-(4-nitrophenyl) ester",10,4.54
"Phosphorothioic acid, O,O-diethyl Opyrazinyl ester",100,45.4
"Phosphorothioic acid, O-[4-[(dimethylamino) sulfonyl]phenyl] O,Odimethyl ester",1000,454
"Phosphorothioic acid, O,O-dimethyl O-(4-nitrophenyl) ester",100,45.4
Phosphorus 1 (0.454),1,0.454
Phosphorus oxychloride 1000 (454),1000,454
Phosphorus pentasulfide 100 (45.4),100,45.4
Phosphorus sulfide 100 (45.4),100,45.4
Phosphorus trichloride 1000 (454),1000,454
Phthalic anhydride 5000 (2270),5000,2270
Physostigmine 100 (45.4),100,45.4
Physostigmine salicylate 100 (45.4),100,45.4
2-Picoline 5000 (2270),5000,2270
"Piperidine, 1-nitroso- 10 (4.54)",10,4.54
"Plumbane, tetraethyl- 10 (4.54)",10,4.54
POLYCHLORINATED BIPHENYLS 1 (0.454),1,0.454
Potassium arsenate 1 (0.454),1,0.454
Potassium arsenite 1 (0.454),1,0.454
Potassium bichromate 10 (4.54),10,4.54
Potassium chromate 10 (4.54),10,4.54
Potassium cyanide K(CN) 10 (4.54),10,4.54
Potassium hydroxide 1000 (454),1000,454
Potassium permanganate 100 (45.4),100,45.4
Potassium silver cyanide 1 (0.454),1,0.454
Promecarb 1000 (454),1000,454
Pronamide 5000 (2270),5000,2270
"Propanal, 2-methyl-2-(methyl-sulfonyl)-,O-[(methylamino)carbonyl] oxime",100,45.4
"Propanal, 2-methyl-2-(methylthio)-, O-[(methylamino)carbonyl] oxime",1,0.454
1-Propanamine 5000 (2270),5000,2270
"1-Propanamine, N-propyl- 5000 (2270)",5000,2270
"1-Propanamine, N-nitroso-N-propyl- 10 (4.54)",10,4.54
"Propane, 1,2-dibromo-3-chloro- 1 (0.454)",1,0.454
"Propane, 1,2-dichloro- 1000 (454)",1000,454
Propanedinitrile 1000 (454),1000,454
Propanenitrile 10 (4.54),10,4.54
"Propanenitrile, 3-chloro- 1000 (454)",1000,454
"Propanenitrile, 2-hydroxy-2-methyl- 10 (4.54)",10,4.54
"Propane, 2-nitro- 10 (4.54)",10,4.54
"Propane, 2,2′-oxybis[2-chloro- 1000 (454)",1000,454
"1,3-Propane sultone 10 (4.54)",10,4.54
"1,2,3-Propanetriol, trinitrate 10 (4.54)",10,4.54
"Propanoic acid, 2-(2,4,5-trichlorophenoxy)-",100,45.4
"1-Propanol, 2,3-dibromo-, phosphate(3:1)",10,4.54
"1-Propanol, 2-methyl- 5000 (2270)",5000,2270
2-Propanone 5000 (2270),5000,2270
"2-Propanone, 1-bromo- 1000 (454)",1000,454
Propargite,10,4.54
Propargyl alcohol,1000,454
2-Propenal,1,0.454
2-Propenamide,5000,2270
"1-Propene, 1,3-dichloro-",100,45.4
"1-Propene, 1,1,2,3,3,3-hexachloro-",1000,454
2-Propenenitrile,100,45.4
"2-Propenenitrile, 2-methyl- ",1000,454
2-Propenoic acid,5000,2270
"2-Propenoic acid, ethyl ester",1000,454
"2-Propenoic acid, 2-methyl-, ethyl ester ",1000,454
"2-Propenoic acid, 2-methyl-, methyl ester",1000,454
2-Propen-1-ol,100,45.4
Propham,1000,454
beta-Propiolactone,10,4.54
Propionaldehyde,1000,454
Propionic acid,5000,2270
Propionic anhydride,5000,2270
Propoxur (Baygon),100,45.4
n-Propylamine,5000,2270
Propylene dichloride,1000,454
Propylene oxide,100,45.4
"1,2-Propylenimine ",1,0.454
2-Propyn-1-ol,1000,454
Prosulfocarb,5000,2270
Pyrene,5000,2270
Pyrethrins,1,0.454
"3,6-Pyridazinedione, 1,2-dihydro- ",5000,2270
4-Pyridinamine,1000,454
Pyridine,1000,454
"Pyridine, 2-methyl- ",5000,2270
"Pyridine, 3-(1-methyl-2-pyrrolidinyl)-,(S)-, & salts",100,45.4
"2,4-(1H,3H)-Pyrimidinedione, 5-[bis(2-chloroethyl)amino]-",10,4.54
"4(1H)-Pyrimidinone, 2,3-dihydro-6-methyl-2-thioxo-",10,4.54
"Pyrrolidine, 1-nitroso- ",1,0.454
"Pyrrolo[2,3-b] indol-5-ol,1,2,3,3a,8,8ahexahydro-1,3a,8-trimethyl-,methylcarbamate (ester), (3aS-cis)-",100,45.4
Quinoline,5000,2270
Quinone,10,4.54
Quintobenzene,100,45.4
RADIONUCLIDES,See Table 2,See Table 2
Reserpine,5000,2270
Resorcinol,5000,2270
Safrole,100,45.4
Selenious acid,10,4.54
"Selenious acid, dithallium (1 + ) salt ",1000,454
Selenium¢,100,45.4
Selenium dioxide,10,4.54
Selenium oxide,10,4.54
Selenium sulfide SeS2,10,4.54
Selenourea,1000,454
"L-Serine, diazoacetate (ester) ",1,0.454
Silver¢,1000,454
Silver cyanide Ag(CN),1,0.454
Silver nitrate,1,0.454
"Silvex (2,4,5-TP) ",100,45.4
Sodium,10,4.54
Sodium arsenate,1,0.454
Sodium arsenite,1,0.454
Sodium azide,1000,454
Sodium bichromate,10,4.54
Sodium bifluoride,100,45.4
Sodium bisulfite,5000,2270
Sodium chromate,10,4.54
Sodium cyanide Na(CN),10,4.54
Sodium dodecylbenzenesulfonate,1000,454
Sodium fluoride,1000,454
Sodium hydrosulfide,5000,2270
Sodium hydroxide,1000,454
Sodium hypochlorite,100,45.4
Sodium methylate,1000,454
Sodium nitrite,100,45.4
"Sodium phosphate, dibasic ",5000,2270
"Sodium phosphate, tribasic ",5000,2270
Sodium selenite,100,45.4
Streptozotocin,1,0.454
Strontium chromate,10,4.54
"Strychnidin-10-one, & salts ",10,4.54
"Strychnidin-10-one, 2,3-dimethoxy- ",100,45.4
"Strychnine, & salts ",10,4.54
Styrene,1000,454
Styrene oxide,100,45.4
Sulfur chlorides@,1000,454
Sulfuric acid,1000,454
"Sulfuric acid, dimethyl ester ",100,45.4
"Sulfuric acid, dithallium (1 + ) salt ",100,45.4
Sulfur monochloride,1000,454
Sulfur phosphide,100,45.4
"2,4,5-T",1000,454
"2,4,5-T acid",1000,454
"2,4,5-T amines ",5000,2270
"2,4,5-T esters ",1000,454
"2,4,5-T salts ",1000,454
TCDD,1,0.454
TDE,1,0.454
"1,2,4,5-Tetrachlorobenzene",5000,2270
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",1,0.454
"1,1,1,2-Tetrachloroethane",100,45.4
"1,1,2,2-Tetrachloroethane",100,45.4
Tetrachloroethylene,100,45.4
"2,3,4,6-Tetrachlorophenol",10,4.54
Tetraethyl pyrophosphate,10,4.54
Tetraethyl lead,10,4.54
Tetraethyldithiopyrophosphate,100,45.4
Tetrahydrofuran,1000,454
Tetranitromethane,10,4.54
"Tetraphosphoric acid, hexaethyl ester",100,45.4
Thallic oxide,100,45.4
Thallium¢,1000,454
Thallium (I) acetate,100,45.4
Thallium (I) carbonate,100,45.4
Thallium chloride TlCl,100,45.4
Thallium (I) nitrate,100,45.4
Thallium oxide Tl2O3,100,45.4
Thallium (I) selenite,1000,454
Thallium (I) sulfate,100,45.4
Thioacetamide,10,4.54
Thiodicarb,100,45.4
"Thiodiphosphoric acid, tetraethyl ester",100,45.4
Thiofanox,100,45.4
Thioimidodicarbonic diamide[(H2N)C(S)]2NH,100,45.4
Thiomethanol,100,45.4
"Thioperoxydicarbonic diamide [(H2N)C(S)]2S2, tetramethyl-",10,4.54
Thiophanate-methyl,10,4.54
Thiophenol,100,45.4
Thiosemicarbazide,100,45.4
Thiourea,10,4.54
"Thiourea, (2-chlorophenyl)- ",100,45.4
"Thiourea, 1-naphthalenyl- ",100,45.4
"Thiourea, phenyl-",100,45.4
Thiram,10,4.54
Tirpate,100,45.4
Titanium tetrachloride,1000,454
Toluene,1000,454
Toluenediamine,10,4.54
"2,4-Toluene diamine",10,4.54
Toluene diisocyanate,100,45.4
"2,4-Toluene diisocyanate",100,45.4
o-Toluidine,100,45.4
p-Toluidine,100,45.4
o-Toluidine hydrochloride,100,45.4
Toxaphene,1,0.454
"2,4,5-TP acid",100,45.4
"2,4,5-TP esters",100,45.4
Triallate,100,45.4
"1H-1,2,4-Triazol-3-amine",10,4.54
Trichlorfon,100,45.4
"1,2,4-Trichlorobenzene",100,45.4
"1,1,1-Trichloroethane",1000,454
"1,1,2-Trichloroethane",100,45.4
Trichloroethylene,100,45.4
Trichloromethanesulfenyl chloride,100,45.4
Trichloromonofluoromethane,5000,2270
Trichlorophenol,10,4.54
"2,3,4-Trichlorophenol",10,4.54
"2,3,5-Trichlorophenol",10,4.54
"2,3,6-Trichlorophenol",10,4.54
"3,4,5-Trichlorophenol",10,4.54
"2,4,5-Trichlorophenol",10,4.54
"2,4,6-Trichlorophenol",10,4.54
Triethanolamine dodecylbenzenesulfonate,1000,454
Triethylamine,5000,2270
Trifluralin,10,4.54
Trimethylamine,100,45.4
"2,2,4-Trimethylpentane ",1000,454
"1,3,5-Trinitrobenzene",10,4.54
"1,3,5-Trioxane, 2,4,6-trimethyl- ",1000,454
"Tris(2,3-dibromopropyl) phosphate",10,4.54
Trypan blue,10,4.54
D002 Unlisted Hazardous Wastes Characteristic of Corrosivity,100,45.4
D001 Unlisted Hazardous Wastes Characteristic of Ignitability,100,45.4
D003 Unlisted Hazardous Wastes Characteristic of Reactivity,100,45.4
D004-D043 Unlisted Hazardous Wastes Characteristic of Toxicity:,100,45.4
Arsenic (D004),1,0.454
Barium (D005),1000,454
Benzene (D018),10,4.54
Cadmium (D006),10,4.54
Carbon tetrachloride (D019),10,4.54
Chlordane (D020),1,0.454
Chlorobenzene (D021),100,45.4
Chloroform (D022),10,4.54
Chromium (D007),10,4.54
o-Cresol (D023),100,45.4
m-Cresol (D024),100,45.4
p-Cresol (D025),100,45.4
Cresol (D026),100,45.4
"2,4-D (D016)",100,45.4
"1,4-Dichlorobenzene (D027) ",100,45.4
"1,2-Dichloroethane (D028)",100,45.4
"1,1-Dichloroethylene (D029) ",100,45.4
"2,4-Dinitrotoluene (D030)",10,4.54
Endrin (D012),1,0.454
Heptachlor (and epoxide) (D031),1,0.454
Hexachlorobenzene (D032),10,4.54
Hexachlorobutadiene (D033),1,0.454
Hexachloroethane (D034),100,45.4
Lead (D008),10,4.54
Lindane (D013),1,0.454
Mercury (D009),1,0.454
Methoxychlor (D014),1,0.454
Methyl ethyl ketone (D035),5000,2270
Nitrobenzene (D036),1000,454
Pentachlorophenol (D037),10,4.54
Pyridine (D038),1000,454
Selenium (D010),10,4.54
Silver (D011),1,0.454
Tetrachloroethylene (D039),100,45.4
Toxaphene (D015),1,0.454
Trichloroethylene (D040),100,45.4
"2,4,5-Trichlorophenol (D041)",10,4.54
"2,4,6-Trichlorophenol (D042)",10,4.54
"2,4,5-TP (D017)",100,45.4
Vinyl chloride (D043),1,0.454
Uracil mustard,10,4.54
Uranyl acetate,100,45.4
Uranyl nitrate,100,45.4
"Urea, N-ethyl-N-nitroso- ",1,0.454
"Urea, N-methyl-N-nitroso-",1,0.454
Urethane,100,45.4
"Vanadic acid, ammonium salt ",1000,454
Vanadium oxide V2O5,1000,454
Vanadium pentoxide,1000,454
Vanadyl sulfate,1000,454
Vinyl acetate,5000,2270
Vinyl acetate monomer,5000,2270
"Vinylamine, N-methyl-N-nitroso- ",10,4.54
Vinyl bromide,100,45.4
Vinyl chloride,1,0.454
Vinylidene chloride,100,45.4
"Warfarin, & salts",100,45.4
Xylene,100,45.4
m-Xylene,1000,454
o-Xylene,1000,454
p-Xylene,100,45.4
Xylene (mixed),100,45.4
Xylenes (isomers and mixture),100,45.4
Xylenol,1000,454
"Yohimban-16-carboxylic acid,11,17-dimethoxy-18-[(3,4,5-trimethoxybenzoyl) oxy]-, methyl ester (3beta,16beta,17alpha,18beta, 20alpha)",5000,2270
Zinc¢,1000,454
Zinc acetate,1000,454
Zinc ammonium chloride,1000,454
"Zinc, bis(dimethylcarbamodithioato- S,S′)-",10,4.54
Zinc borate,1000,454
Zinc bromide,1000,454
Zinc carbonate,1000,454
Zinc chloride,1000,454
Zinc cyanide Zn(CN)2,10,4.54
Zinc fluoride,1000,454
Zinc formate,1000,454
Zinc hydrosulfite,1000,454
Zinc nitrate,1000,454
Zinc phenolsulfonate,5000,2270
Zinc phosphide Zn3P2,100,45.4
Zinc silicofluoride,5000,2270
Zinc sulfate,1000,454
Ziram,10,4.54
Zirconium nitrate,5000,2270
Zirconium potassium fluoride,1000,454
Zirconium sulfate,5000,2270
Zirconium tetrachloride,5000,2270
F001,10,4.54
(a) Tetrachloroethylene,100,45.4
(b) Trichloroethylene,100,45.4
(c) Methylene chloride,1000,454
"(d) 1,1,1-Trichloroethane",1000,454
(e) Carbon tetrachloride,10,4.54
(f) Chlorinated fluorocarbons,5000,2270
F002,10,4.54
(a) Tetrachloroethylene,100,45.4
(b) Methylene chloride,1000,454
(c) Trichloroethylene,100,45.4
"(d) 1,1,1-Trichloroethane",1000,454
(e) Chlorobenzene,100,45.4
"(f) 1,1,2-Trichloro-1,2,2-trifluoroethane",5000,2270
(g) o-Dichlorobenzene,100,45.4
(h) Trichlorofluoromethane,5000,2270
"(i) 1,1,2-Trichloroethane",100,45.4
F003,100,45.4
(a) Xylene,1000,454
(b) Acetone,5000,2270
(c) Ethyl acetate,5000,2270
(d) Ethylbenzene,1000,454
(e) Ethyl ether,100,45.4
(f) Methyl isobutyl ketone,5000,2270
(g) n-Butyl alcohol,5000,2270
(h) Cyclohexanone,5000,2270
(i) Methanol,5000,2270
F004,100,45.4
(a) Cresols/Cresylic acid,100,45.4
(b) Nitrobenzene,1000,454
F005,100,45.4
(a) Toluene,1000,454
(b) Methyl ethyl ketone,5000,2270
(c) Carbon disulfide,100,45.4
(d) Isobutanol,5000,2270
(e) Pyridine,1000,454
F006,10,4.54
F007,10,4.54
F008,10,4.54
F009,10,4.54
F010,10,4.54
