SP Code,SP descp
N32,Aluminum materials of construction are not authorized for single packagings.
N33,Aluminum drums are not authorized.
N34,"Aluminum construction materials are not authorized for any part of a packaging which is
normally in contact with the hazardous materials."
N36,"Aluminum or aluminum alloy construction materials are permitted only for halogenated
hydrocarbons that will not react with aluminum."
N37,"This material may be shipped in an integrally-lined fiber drum (1G) which meets the general
packaging requirements of Attachment 3, the UN performance tests required based on the PG assigned
to the material and to any other special provisions of column 7 of Table A4.1."
N40,"This material is not authorized in the following packagings:
(1) A combination packaging consisting of a 4G fiberboard box with inner receptacles of glass or
earthenware.
(2) A single packaging of a 4C2 sift-proof, natural wood box.
(3) A composite packaging 6PG2 (glass, porcelain, or stoneware receptacles within a fiberboard box)."
N41,"Metal construction materials are not authorized for any part of a packaging that is normally in
contact with the hazardous material."
N43,Metal drums are permitted as single packagings only if constructed of nickel or Monel.
N45,"For combination packagings, copper cartridges are permitted as inner packagings when the
hazardous material is not in dispersion."
N65,"Outage must be sufficient to prevent cylinders or spheres from becoming liquid full at 55 degrees
C (130 degrees F). (T-0). The vacant space (outage) may be charged with a nonflammable,
nonliquefied compressed gas if the pressure in the cylinder or sphere at 55 degrees C (130 degrees F)
does not exceed 125 percent of the marked service pressure."
N73,"Packagings consisting of outer wooden or fiberboard boxes with inner glass, metal, or other
strong containers; metal or fiber drums; kegs or barrels; or strong metal cans are authorized and need
not conform to the UN test requirements for domestic shipment."
N74,"Packages consisting of tightly closed inner containers of glass, earthenware, metal or
polyethylene, capacity not over 0.5 kg (1.1 pounds) securely cushioned and packed in outer wooden
barrels or wooden or fiberboard boxes, not over 15 kg (33 pounds) net weight, are authorized and need
not conform to the UN test requirements for domestic shipment."
N75,"Packages consisting of tightly closed inner packagings of glass, earthenware, or metal, securely
cushioned and packed in outer wooden barrels, or wooden or fiberboard boxes, capacity not over 2.5
kg (5.5 pounds) net weight, are authorized and need not conform to the UN test requirements for
domestic shipment."
N76,"For materials of not more than 25 percent active ingredient by weight, packages consisting of
inner metal packagings not greater than 250 ml (8 ounces) capacity each, packed in strong outer
packagings together with sufficient absorbent material to completely absorb the liquid contents are
authorized and need not conform to the UN test requirements for domestic shipment."
N77,"For materials of not more than two percent active ingredients by weight and the liquid contents
are absorbed in an inert material, the packagings need not conform to the UN test requirements for
domestic shipment."
N78,"Packages consisting of inner glass, earthenware, polyethylene, or other nonfragile plastic bottles
or jars not over 0.5 kg (1.1 pounds) capacity each, or metal cans not over 5 pounds capacity each,
packed in outer wooden boxes, barrels, kegs, or fiberboard boxes, are authorized and need not conform
to the UN test requirements for domestic shipments. Net weight of contents in fiberboard boxes may
not exceed 29 kg (64 pounds). Net weight of contents in wooden boxes, barrels, or kegs may not
exceed 45 kg (99 pounds)."
N79,"Packages consisting of tightly closed metal inner packagings not over 0.5 kg (1.1 pounds)
capacity each, packed in outer wooden or fiberboard boxes, or wooden barrels, are authorized and need
not conform to UN test requirements for domestic shipment. Net weight of contents may not exceed 15
kg (33 pounds)."
N85,Packagings certified at the Packing Group I performance level may not be used.
N86,UN pressure receptacles made of aluminum alloy are not authorized.
N87,The use of copper valves on UN pressure receptacles is prohibited.
N88,"Any metal part of a UN pressure receptacle in contact with the contents may not contain more
than 65% copper, with a tolerance of 1%."
N89,"When steel UN pressure receptacles are used, only those bearing the “H” mark are authorized."
N90,Metal packagings are not authorized.
